id,name,salary_from,salary_to,salary_currency,area,city,latitude,longitude,employer_url,professional_role
109546309,Менеджер по логистике,300000,1000000,KZT,Алматы,Алматы,43.281513,76.935997,https://hh.ru/employer/11559849,"Менеджер по логистике, менеджер по ВЭД"
109546270,Офис-менеджер,140000,200000,KZT,Алматы,Алматы,43.238588,76.905292,https://hh.ru/employer/3024235,Офис-менеджер
109546256,Посудомойщица/Посудомойщик (Уборщица/Уборщик),150000,150000,KZT,Алматы,Алматы,43.246265,76.941737,https://hh.ru/employer/5134555,"Уборщица, уборщик"
104333248,"Продавец-консультант adidas, ТРЦ ""Sputnik Mall""",,,,Алматы,Алматы,43.212312,76.842186,https://hh.ru/employer/578891,"Продавец-консультант, продавец-кассир"
109546225,Терапевт-стоматолог в компанию лидер цифровой стоматологии,,1000000,KZT,Алматы,Алматы,43.221661,76.870267,https://hh.ru/employer/5362656,Врач
109546214,Помощник зав.склада готовой продукций,350000,370000,KZT,Алматы,Алматы,43.270007,76.918615,https://hh.ru/employer/10514132,Другое
109546176,Торговый представитель,250000,300000,KZT,Алматы,Алматы,43.270007,76.918615,https://hh.ru/employer/10514132,Торговый представитель
106807229,Механик в сигаретный цех,,,,Алматы,Алматы,,,https://hh.ru/employer/1461565,"Сервисный инженер, инженер-механик"
109546136,Консультант 1C,150000,400000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2568753,Методолог
109546113,"Продавец-консультант ""Lichi"" бренд женской одежды (ТРЦ Меga Park)",260000,370000,KZT,Алматы,Алматы,,,https://hh.ru/employer/6015335,"Продавец-консультант, продавец-кассир"
109546100,Бухгалтер (Национальная Библиотека Республики Казахстан),180000,200000,KZT,Алматы,Алматы,,,https://hh.ru/employer/11559208,Экономист
109545970,Менеджер по продажам,300000,,KZT,Алматы,Алматы,43.246338,76.867617,https://hh.ru/employer/1851395,"Менеджер по продажам, менеджер по работе с клиентами"
109545953,Юрист-антиколлектор,350000,700000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4088503,Юрисконсульт
107901542,Графический дизайнер в редакцию,350000,500000,KZT,Алматы,Алматы,43.236644,76.895609,https://hh.ru/employer/40662,"Дизайнер, художник"
109545828,Специалист службы поддержки чатов,,,,Алматы,Алматы,,,https://hh.ru/employer/4240198,Специалист технической поддержки
109545747,Мастер по наращиванию ресниц,200000,250000,KZT,Алматы,Алматы,43.201233,76.90169,https://hh.ru/employer/11552757,Другое
109545676,Юрист,300000,350000,KZT,Алматы,Алматы,,,https://hh.ru/employer/11559835,Юрист
108102748,Начальник отдела по управлению ценностью клиента,,,,Алматы,Алматы,43.226148,76.928586,https://hh.ru/employer/49971,Другое
109545160,Кладовщик,180000,,KZT,Алматы,Алматы,43.332329,76.832179,https://hh.ru/employer/5916436,Кладовщик
109545152,Водитель-Экспедитор,250000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/11009281,Водитель
109545090,Преподаватель языков программирования,35000,500000,KZT,Алматы,Алматы,43.21971,76.8357,https://hh.ru/employer/6116334,"Программист, разработчик"
109545073,"Визуальный мерчандайзер (ТЦ ""Алматы Молл"")",,,,Алматы,Алматы,43.207804,76.859011,https://hh.ru/employer/4012196,Мерчандайзер
109545017,Консультант по онлайн продажам в супермаркете (шоппер),180000,250000,KZT,Алматы,Алматы,43.200878,76.892267,https://hh.ru/employer/921180,"Оператор call-центра, специалист контактного центра"
109545014,Специалист по вопросам устойчивого развития,,,,Алматы,Алматы,,,https://hh.ru/employer/31453,Другое
109545005,Копирайтер (Middle),,,,Алматы,Алматы,43.258557,76.945932,https://hh.ru/employer/5632077,"Копирайтер, редактор, корректор"
109544985,Заведующий складом (телекоммуникационное оборудование),250000,400000,KZT,Алматы,Алматы,43.22846,76.869261,https://hh.ru/employer/8641773,Начальник склада
109544844,Копирайтер,,,,Алматы,Алматы,,,https://hh.ru/employer/110833,"Копирайтер, редактор, корректор"
109544827,Директор филиала (логистика),900000,930000,KZT,Алматы,Алматы,43.279124,76.919315,https://hh.ru/employer/3838,Руководитель филиала
108973410,Главный бухгалтер (в одном лице),600000,,KZT,Алматы,Алматы,43.291212,76.947927,https://hh.ru/employer/10605189,Бухгалтер
109544596,Менеджер по рекламе / Таргетолог (E-commerce),,400000,KZT,Алматы,Алматы,43.235961,76.881604,https://hh.ru/employer/9399496,"Менеджер по маркетингу, интернет-маркетолог"
109544452,Помощник воспитателя,180000,200000,KZT,Алматы,Алматы,43.205268,76.836589,https://hh.ru/employer/3061329,"Воспитатель, няня"
109544331,Начинающий бухгалтер в офис,110760,130000,KZT,Алматы,Алматы,43.268018,76.951762,https://hh.ru/employer/11412562,Бухгалтер
109544229,Менеджер по работе с клиентами,200000,,KZT,Алматы,Алматы,43.200878,76.892267,https://hh.ru/employer/3261906,"Менеджер по продажам, менеджер по работе с клиентами"
109544215,Медицинская сестра/Медицинский брат,250000,250000,KZT,Алматы,Алматы,43.203014,76.897872,https://hh.ru/employer/1440174,"Медицинская сестра, медицинский брат"
109544183,"Техник, монтажник по РРЛ, ВОЛС, желательно со своей машиной.",200000,400000,KZT,Алматы,Алматы,43.24817,76.836607,https://hh.ru/employer/8969335,Другое
109544167,"Рабочий, разнорабочий в металлоцех и резиновый цех",150000,500000,KZT,Алматы,Алматы,43.398955,76.941396,https://hh.ru/employer/1596634,Разнорабочий
